date,temp_celsius,rainfall_mm,humidity_percent
2019-01-01,10.7,0.0,62
2019-01-02,12.5,0.0,63
2019-01-03,13.1,1.8,79
2019-01-04,15.5,0.0,79
2019-01-05,18.7,0.6,82
2019-01-06,18.6,1.1,81
2019-01-07,19.0,2.2,88
2019-01-08,16.7,9.1,89
2019-01-09,13.3,11.4,91
2019-01-10,15.4,5.1,92
2019-01-11,18.0,0.5,91
2019-01-12,19.8,1.0,89
2019-01-13,20.6,0.7,88
2019-01-14,20.6,1.3,91
2019-01-15,18.1,1.6,81
2019-01-16,12.7,5.3,79
2019-01-17,13.0,0.0,72
2019-01-18,14.9,0.0,76
2019-01-19,18.1,0.1,84
2019-01-20,19.7,4.6,89
2019-01-21,14.1,7.5,73
2019-01-22,15.3,0.0,60
2019-01-23,15.5,0.0,76
2019-01-24,17.2,0.0,81
2019-01-25,19.3,1.1,87
2019-01-26,18.8,2.6,85
2019-01-27,18.0,0.3,81
2019-01-28,18.0,0.1,87
2019-01-29,19.8,0.6,87
2019-01-30,21.1,1.3,85
2019-01-31,20.9,1.9,86
2019-02-01,20.1,0.2,82
2019-02-02,20.0,0.0,83
2019-02-03,21.8,0.2,85
2019-02-04,22.3,1.2,87
2019-02-05,23.0,0.7,84
2019-02-06,23.6,0.4,83
2019-02-07,23.6,0.3,86
2019-02-08,23.8,0.2,85
2019-02-09,24.0,0.2,83
2019-02-10,23.5,2.3,85
2019-02-11,20.1,5.1,85
2019-02-12,21.0,1.1,82
2019-02-13,22.1,0.7,87
2019-02-14,22.6,2.4,84
2019-02-15,23.1,3.6,84
2019-02-16,23.7,1.4,86
2019-02-17,21.9,15.8,94
2019-02-18,23.3,1.0,84
2019-02-19,23.9,0.4,85
2019-02-20,25.3,1.1,84
2019-02-21,24.3,1.6,82
2019-02-22,17.8,10.5,83
2019-02-23,16.3,9.1,89
2019-02-24,15.2,1.2,75
2019-02-25,16.8,0.9,79
2019-02-26,18.4,0.8,83
2019-02-27,21.3,0.8,87
2019-02-28,23.1,1.6,87
2019-03-01,23.7,1.7,87
2019-03-02,24.3,0.3,85
2019-03-03,22.5,1.6,86
2019-03-04,23.2,1.3,83
2019-03-05,25.6,0.2,84
2019-03-06,20.7,6.0,83
2019-03-07,18.0,4.4,83
2019-03-08,18.0,1.5,84
2019-03-09,19.4,0.4,81
2019-03-10,18.1,0.4,74
2019-03-11,19.9,0.0,75
2019-03-12,20.4,0.0,80
